round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Round of 64,East,1,Georgetown,68,16,Lehigh,43,25,1985
Round of 64,East,4,"Loyola, Illinois",59,13,Iona,58,1,1985
Round of 64,East,5,Southern Methodist,85,12,Old Dominion,68,17,1985
Round of 64,East,8,Temple,60,9,Virginia Tech,57,3,1985
Round of 64,Midwest,1,Oklahoma,96,16,North Carolina A&T,83,13,1985
Round of 64,Midwest,4,Ohio State,75,13,Iowa State,64,11,1985
Round of 64,Midwest,5,Louisiana Tech,78,12,Pittsburgh,54,24,1985
Round of 64,Midwest,9,Illinois State,58,8,Southern California,55,3,1985
Round of 64,Southeast,2,North Carolina,76,15,Middle Tennessee State,57,19,1985
Round of 64,Southeast,3,Kansas,49,14,Ohio,38,11,1985
Round of 64,Southeast,7,Notre Dame,79,10,Oregon State,70,9,1985
Round of 64,Southeast,11,Auburn,59,6,Purdue,58,1,1985
Round of 64,West,1,"St. John's, New York",83,16,Southern,59,24,1985
Round of 64,West,4,Nevada-Las Vegas,85,13,San Diego State,80,5,1985
Round of 64,West,9,Arkansas,63,8,Iowa,54,9,1985
Round of 64,West,12,Kentucky,66,5,Washington,58,8,1985
Round of 64,East,2,Georgia Tech,65,15,Mercer,58,7,1985
Round of 64,East,3,Illinois,76,14,Northeastern,57,19,1985
Round of 64,East,6,Georgia,67,11,Wichita State,59,8,1985
Round of 64,East,7,Syracuse,70,10,DePaul,65,5,1985
Round of 64,Midwest,2,Memphis,67,15,Pennsylvania,55,12,1985
Round of 64,Midwest,3,Duke,75,14,Pepperdine,62,13,1985
Round of 64,Midwest,7,UAB,70,10,Michigan State,68,2,1985
Round of 64,Midwest,11,Boston College,55,6,Texas Tech,53,2,1985
Round of 64,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55,4,1985
Round of 64,Southeast,5,Maryland,69,12,"Miami, Ohio",68,1,1985
Round of 64,Southeast,8,Villanova,51,9,Dayton,49,2,1985
Round of 64,Southeast,13,Navy,78,4,Louisiana State,55,23,1985
Round of 64,West,2,Virginia Commonwealth,81,15,Marshall,65,16,1985
Round of 64,West,3,North Carolina State,65,14,Nevada,56,9,1985
Round of 64,West,7,Alabama,50,10,Arizona,41,9,1985
Round of 64,West,11,Texas-El Paso,79,6,Tulsa,75,4,1985
Round of 32,East,1,Georgetown,63,8,Temple,46,17,1985
Round of 32,East,4,"Loyola, Illinois",70,5,Southern Methodist,57,13,1985
Round of 32,Midwest,1,Oklahoma,75,9,Illinois State,69,6,1985
Round of 32,Midwest,5,Louisiana Tech,79,4,Ohio State,67,12,1985
Round of 32,Southeast,2,North Carolina,60,7,Notre Dame,58,2,1985
Round of 32,Southeast,11,Auburn,66,3,Kansas,64,2,1985
Round of 32,West,1,"St. John's, New York",68,9,Arkansas,65,3,1985
Round of 32,West,12,Kentucky,64,4,Nevada-Las Vegas,61,3,1985
Round of 32,East,2,Georgia Tech,70,7,Syracuse,53,17,1985
Round of 32,East,3,Illinois,74,6,Georgia,58,16,1985
Round of 32,Midwest,2,Memphis,67,7,UAB,66,1,1985
Round of 32,Midwest,11,Boston College,74,3,Duke,73,1,1985
Round of 32,Southeast,5,Maryland,64,13,Navy,59,5,1985
Round of 32,Southeast,8,Villanova,59,1,Michigan,55,4,1985
Round of 32,West,3,North Carolina State,86,11,Texas-El Paso,73,13,1985
Round of 32,West,7,Alabama,63,2,Virginia Commonwealth,59,4,1985
Sweet Sixteen,East,1,Georgetown,65,4,"Loyola, Illinois",53,12,1985
Sweet Sixteen,East,2,Georgia Tech,61,3,Illinois,53,8,1985
Sweet Sixteen,Midwest,1,Oklahoma,86,5,Louisiana Tech,84,2,1985
Sweet Sixteen,Midwest,2,Memphis,59,11,Boston College,57,2,1985
Sweet Sixteen,Southeast,2,North Carolina,62,11,Auburn,56,6,1985
Sweet Sixteen,Southeast,8,Villanova,46,5,Maryland,43,3,1985
Sweet Sixteen,West,1,"St. John's, New York",86,12,Kentucky,70,16,1985
Sweet Sixteen,West,3,North Carolina State,61,7,Alabama,55,6,1985
Elite Eight,East,1,Georgetown,60,2,Georgia Tech,54,6,1985
Elite Eight,Midwest,2,Memphis,63,1,Oklahoma,61,2,1985
Elite Eight,Southeast,8,Villanova,56,2,North Carolina,44,12,1985
Elite Eight,West,1,"St. John's, New York",69,3,North Carolina State,60,9,1985
National Semifinals,National Semifinals,1,Georgetown,77,1,"St. John's, New York",59,18,1985
National Semifinals,National Semifinals,8,Villanova,52,2,Memphis,45,7,1985
National Championship,National Championship,8,Villanova,66,1,Georgetown,64,2,1985
Round of 64,East,1,Duke,85,16,Mississippi Valley,78,7,1986
Round of 64,East,4,Oklahoma,80,13,Northeastern,74,6,1986
Round of 64,East,8,Old Dominion,72,9,West Virginia,64,8,1986
Round of 64,East,12,DePaul,72,5,Virginia,68,4,1986
Round of 64,Midwest,1,Kansas,71,16,North Carolina A&T,46,25,1986
Round of 64,Midwest,4,Georgetown,70,13,Texas Tech,64,6,1986
Round of 64,Midwest,5,Michigan State,72,12,Washington,70,2,1986
Round of 64,Midwest,9,Temple,61,8,Jacksonville,50,11,1986
Round of 64,Southeast,2,Georgia Tech,68,15,Marist,53,15,1986
Round of 64,Southeast,3,Memphis,95,14,Ball State,63,32,1986
Round of 64,Southeast,10,Villanova,71,7,Virginia Tech,62,9,1986
Round of 64,Southeast,11,Louisiana State,94,6,Purdue,87,7,1986
Round of 64,West,2,Louisville,93,15,Drexel,73,20,1986
Round of 64,West,3,North Carolina,84,14,Utah,72,12,1986
Round of 64,West,6,UAB,66,11,Missouri,64,2,1986
Round of 64,West,7,Bradley,83,10,Texas-El Paso,65,18,1986
Round of 64,East,2,Syracuse,101,15,Brown,52,49,1986
Round of 64,East,6,"St. Joseph's, Pennsylvania",60,11,Richmond,59,1,1986
Round of 64,East,7,Navy,87,10,Tulsa,68,19,1986
Round of 64,East,14,Cleveland State,83,3,Indiana,79,4,1986
Round of 64,Midwest,2,Michigan,70,15,Akron,64,6,1986
Round of 64,Midwest,6,North Carolina State,66,11,Iowa,64,2,1986
Round of 64,Midwest,7,Iowa State,81,10,"Miami, Ohio",79,2,1986
Round of 64,Midwest,14,Arkansas-Little Rock,90,3,Notre Dame,83,7,1986
Round of 64,Southeast,1,Kentucky,75,16,Davidson,55,20,1986
Round of 64,Southeast,4,Illinois,75,13,Fairfield,51,24,1986
Round of 64,Southeast,5,Alabama,97,12,"Xavier, Ohio",80,17,1986
Round of 64,Southeast,8,Western Kentucky,67,9,Nebraska,59,8,1986
Round of 64,West,1,"St. John's, New York",83,16,Montana State,74,9,1986
Round of 64,West,4,Nevada-Las Vegas,74,13,Louisiana-Monroe,51,23,1986
Round of 64,West,5,Maryland,69,12,Pepperdine,64,5,1986
Round of 64,West,8,Auburn,73,9,Arizona,63,10,1986
Round of 32,East,1,Duke,89,8,Old Dominion,61,28,1986
Round of 32,East,12,DePaul,74,4,Oklahoma,69,5,1986
Round of 32,Midwest,1,Kansas,65,9,Temple,43,22,1986
Round of 32,Midwest,5,Michigan State,80,4,Georgetown,68,12,1986
Round of 32,Southeast,2,Georgia Tech,66,10,Villanova,61,5,1986
Round of 32,Southeast,11,Louisiana State,83,3,Memphis,81,2,1986
Round of 32,West,2,Louisville,82,7,Bradley,68,14,1986
Round of 32,West,3,North Carolina,77,6,UAB,59,18,1986
Round of 32,East,7,Navy,97,2,Syracuse,85,12,1986
Round of 32,East,14,Cleveland State,75,6,"St. Joseph's, Pennsylvania",69,6,1986
Round of 32,Midwest,6,North Carolina State,80,14,Arkansas-Little Rock,66,14,1986
Round of 32,Midwest,7,Iowa State,72,2,Michigan,69,3,1986
Round of 32,Southeast,1,Kentucky,71,8,Western Kentucky,64,7,1986
Round of 32,Southeast,5,Alabama,58,4,Illinois,56,2,1986
Round of 32,West,4,Nevada-Las Vegas,70,5,Maryland,64,6,1986
Round of 32,West,8,Auburn,81,1,"St. John's, New York",65,16,1986
Sweet Sixteen,Southeast,1,Kentucky,68,5,Alabama,63,5,1986
Sweet Sixteen,Southeast,11,Louisiana State,70,2,Georgia Tech,64,6,1986
Sweet Sixteen,West,2,Louisville,94,3,North Carolina,79,15,1986
Sweet Sixteen,West,8,Auburn,70,4,Nevada-Las Vegas,63,7,1986
Sweet Sixteen,East,1,Duke,74,12,DePaul,67,7,1986
Sweet Sixteen,East,7,Navy,71,14,Cleveland State,70,1,1986
